data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popularity,rating
1,Thailand,Krabi,아오낭 해변,,,"풍경이 아름다운 작고 번화한 해변 인근에 매장, 카페, 호텔이 즐비합니다.",,,https://www.google.com/maps/place/%EC%95%84%EC%98%A4%EB%82%AD+%ED%95%B4%EB%B3%80/data=!4m7!3m6!1s0x3051c00ffe2230a3:0x5ceceb7ef0a2494d!8m2!3d8.0292052!4d98.8240353!16s%2Fg%2F12lsf660c!19sChIJozAi_g_AUTARTUmi8H7r7Fw?authuser=0&hl=ko&rclk=1,20047,4.2
2,Thailand,Krabi,왓 탐 쓰아,,,녹음이 우거진 정글로 둘러싸인 이 드넓은 사원은 금으로 만든 불상과 동굴로 유명합니다.,,,https://www.google.com/maps/place/%EC%99%93+%ED%83%90+%EC%93%B0%EC%95%84/data=!4m7!3m6!1s0x305196aad2b5633b:0x54b73c818ba88811!8m2!3d8.1239259!4d98.925131!16s%2Fm%2F0k6zhbn!19sChIJO2O10qqWUTAREYioi4E8t1Q?authuser=0&hl=ko&rclk=1,9827,4.6
3,Thailand,Krabi,싸 모라꼿(끄라비 에메랄드 풀),,,목재 산책로와 함께 짙푸른 숲속 암반수 수영장이 있어 수영을 즐기러 많이 찾는 명소,,,https://www.google.com/maps/place/%EC%8B%B8+%EB%AA%A8%EB%9D%BC%EA%BC%BF%28%EB%81%84%EB%9D%BC%EB%B9%84+%EC%97%90%EB%A9%94%EB%9E%84%EB%93%9C+%ED%92%80%29/data=!4m7!3m6!1s0x30521c0d8d8ba7ff:0xad9f7a187dd245ee!8m2!3d7.9250768!4d99.2681506!16s%2Fg%2F1hm5tqdjt!19sChIJ_6eLjQ0cUjAR7kXSfRh6n60?authuser=0&hl=ko&rclk=1,9637,4.3
4,Thailand,Krabi,끄라비 타운 야시장,,,,,,https://www.google.com/maps/place/%EB%81%84%EB%9D%BC%EB%B9%84+%ED%83%80%EC%9A%B4+%EC%95%BC%EC%8B%9C%EC%9E%A5/data=!4m7!3m6!1s0x3051949b0ddc8eb1:0x2489c3701b122d78!8m2!3d8.0643754!4d98.9165197!16s%2Fg%2F11c7ky0qxs!19sChIJsY7cDZuUUTAReC0SG3DDiSQ?authuser=0&hl=ko&rclk=1,7905,4.2
5,Thailand,Krabi,Railay West Beach,,,녹음이 우거진 정글로 둘러싸인 넓은 백사장 해변으로 높이 솟은 석회암 절벽과 동굴이 있습니다.,,,https://www.google.com/maps/place/Railay+West+Beach/data=!4m7!3m6!1s0x3051ea9e231c985d:0x88cd797ac0cd063f!8m2!3d8.0132105!4d98.8370889!16s%2Fg%2F1th89fms!19sChIJXZgcI57qUTARPwbNwHp5zYg?authuser=0&hl=ko&rclk=1,7224,4.5
6,Thailand,Krabi,프라낭 동굴,,,,,,https://www.google.com/maps/place/%ED%94%84%EB%9D%BC%EB%82%AD+%EB%8F%99%EA%B5%B4/data=!4m7!3m6!1s0x3051ea830a3e697f:0xcb176706ebb3b74!8m2!3d8.0046094!4d98.8402551!16s%2Fg%2F11ckr724_b!19sChIJf2k-CoPqUTARdDu7bnB2sQw?authuser=0&hl=ko&rclk=1,5847,4.6
7,Thailand,Krabi,Central Phuket,,,,,,https://www.google.com/maps/place/Central+Phuket/data=!4m7!3m6!1s0x305031c6a7059d45:0xe309a98147636491!8m2!3d7.8918237!4d98.3672749!16s%2Fg%2F11clwpcxqv!19sChIJRZ0Fp8YxUDARkWRjR4GpCeM?authuser=0&hl=ko&rclk=1,5759,4.6
8,Thailand,Krabi,대나무 섬,,,"산호초로 둘러싸인 작은 섬으로 깔끔한 해변, 깨끗한 물, 작은 바가 있으며 스노클링 명소로 유명합니다.",,,https://www.google.com/maps/place/%EB%8C%80%EB%82%98%EB%AC%B4+%EC%84%AC/data=!4m7!3m6!1s0x3051ddac0fbb074b:0x937956d43fa7a381!8m2!3d7.8168417!4d98.7955213!16s%2Fg%2F11cnc58xdy!19sChIJSwe7D6zdUTARgaOnP9RWeZM?authuser=0&hl=ko&rclk=1,5621,4.7
9,Thailand,Krabi Town,센타라 아오낭 비치,,,,,,https://www.google.com/maps/place/%EC%84%BC%ED%83%80%EB%9D%BC+%EC%95%84%EC%98%A4%EB%82%AD+%EB%B9%84%EC%B9%98/data=!4m10!3m9!1s0x3054f34014745c8b:0xb96f03e7a0f740b0!5m2!4m1!1i2!8m2!3d8.0296513!4d98.8258801!16s%2Fg%2F1tmcvfdd!19sChIJi1x0FEDzVDARsED3oOcDb7k?authuser=0&hl=ko&rclk=1,5208,4.8
10,Thailand,Krabi,프라낭 해변,,,동굴이 있는 석회암 절벽으로 둘러싸인 이 모래 해변의 특징은 맑은 물과 주변의 작은 섬들입니다.,,,https://www.google.com/maps/place/%ED%94%84%EB%9D%BC%EB%82%AD+%ED%95%B4%EB%B3%80/data=!4m7!3m6!1s0x3051bf92a938c419:0x1a5772013c058c6b!8m2!3d8.0058867!4d98.8378338!16s%2Fg%2F1tm9dm0n!19sChIJGcQ4qZK_UTARa4wFPAFyVxo?authuser=0&hl=ko&rclk=1,3581,4.7
11,Thailand,Krabi,Bamboo Beach,,,,,,https://www.google.com/maps/place/Bamboo+Beach/data=!4m7!3m6!1s0x3051dd3078db381b:0xe9e67c3d3d8c2d62!8m2!3d7.818906!4d98.796188!16s%2Fg%2F11cn9f9ysy!19sChIJGzjbeDDdUTARYi2MPT185uk?authuser=0&hl=ko&rclk=1,3399,4.7
12,Thailand,Krabi,KhongThomNuea Hot Stream Waterfall Krabi,,,,,,https://www.google.com/maps/place/KhongThomNuea+Hot+Stream+Waterfall+Krabi/data=!4m7!3m6!1s0x30521def171a033b:0xcb933f9d73b6ded9!8m2!3d7.9313968!4d99.2057849!16s%2Fg%2F11c1xl98jr!19sChIJOwMaF-8dUjAR2d62c50_k8s?authuser=0&hl=ko&rclk=1,3351,4.4
13,Thailand,Krabi,라일레이 해변,,,석회암 절벽이 있는 이 반도는 보트로만 접근할 수 있으며 암벽 등반과 다이빙으로 유명합니다.,,,https://www.google.com/maps/place/%EB%9D%BC%EC%9D%BC%EB%A0%88%EC%9D%B4+%ED%95%B4%EB%B3%80/data=!4m7!3m6!1s0x3051ea9e0792e58b:0x61d88bb17c215081!8m2!3d8.011711!4d98.837776!16zL20vMDVfc2R0!19sChIJi-WSB57qUTARgVAhfLGL2GE?authuser=0&hl=ko&rclk=1,3242,4.5
14,Thailand,Krabi,탄복크라니 국립공원,,,,,,https://www.google.com/maps/place/%ED%83%84%EB%B3%B5%ED%81%AC%EB%9D%BC%EB%8B%88+%EA%B5%AD%EB%A6%BD%EA%B3%B5%EC%9B%90/data=!4m7!3m6!1s0x305109e24c9e3783:0xb2acb8f6dd841a61!8m2!3d8.3889355!4d98.7350766!16s%2Fg%2F1220whhd!19sChIJgzeeTOIJUTARYRqE3fa4rLI?authuser=0&hl=ko&rclk=1,2494,4.4
15,Thailand,Krabi,Chao Fah Park,,,,,,https://www.google.com/maps/place/Chao+Fah+Park/data=!4m7!3m6!1s0x3051949ed8244cff:0x1d0223bd14f9b640!8m2!3d8.063516!4d98.918536!16s%2Fg%2F1tf2pbsy!19sChIJ_0wk2J6UUTARQLb5FL0jAh0?authuser=0&hl=ko&rclk=1,2442,4.3
