data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,Popularity,rating
1,China,Hangzhou,링인쓰,,,도시의 가장 오래된 불교 사원으로 서기 328년에 지어졌으며 화재와 전쟁으로 소실된 후 재건되었습니다.,,,https://www.google.com/maps/place/%EB%A7%81%EC%9D%B8%EC%93%B0/data=!4m7!3m6!1s0x344b632cac3ea129:0xbeacbec946d6166c!8m2!3d30.240831!4d120.101482!16zL20vMDZwZ25s!19sChIJKaE-rCxjSzQRbBbWRsm-rL4?authuser=0&hl=ko&rclk=1,907,4.6
2,China,Hangzhou,시 호,,,,,,https://www.google.com/maps/place/%EC%8B%9C+%ED%98%B8/data=!4m7!3m6!1s0x344b62c0d149f2cb:0xf0f28861cfd37ec9!8m2!3d30.2479326!4d120.1502699!16zL20vMDF6cDVy!19sChIJy_JJ0cBiSzQRyX7Tz2GI8vA?authuser=0&hl=ko&rclk=1,870,4.7
3,China,Hangzhou,항저우 샤오산 국제공항,,,,,,https://www.google.com/maps/place/%ED%95%AD%EC%A0%80%EC%9A%B0+%EC%83%A4%EC%98%A4%EC%82%B0+%EA%B5%AD%EC%A0%9C%EA%B3%B5%ED%95%AD/data=!4m7!3m6!1s0x344c93fe70f99a79:0x1e0ada1e0c1f173a!8m2!3d30.2359486!4d120.4388907!16zL20vMDkzODNz!19sChIJeZr5cP6TTDQROhcfDB7aCh4?authuser=0&hl=ko&rclk=1,775,4.1
4,China,Hangzhou,湖滨公园,,,,,,https://www.google.com/maps/place/%E6%B9%96%E6%BB%A8%E5%85%AC%E5%9B%AD/data=!4m7!3m6!1s0x344c9d6229af3067:0x8b1c655142bb3a7c!8m2!3d30.257721!4d120.157851!16s%2Fg%2F11r80rqtz!19sChIJZzCvKWKdTDQRfDq7QlFlHIs?authuser=0&hl=ko&rclk=1,747,4.5
5,China,Hangzhou,Orioles Singing in the Willows,,,,,,https://www.google.com/maps/place/Orioles+Singing+in+the+Willows/data=!4m7!3m6!1s0x344b62a64b3ce5d9:0x21a1f5560f082e40!8m2!3d30.239441!4d120.15785!16s%2Fg%2F155s43vy!19sChIJ2eU8S6ZiSzQRQC4ID1b1oSE?authuser=0&hl=ko&rclk=1,693,4.4
6,China,Hangzhou,뇌봉탑,,,원래 서기 975년에 지어진 이 5층 탑은 1924년에 붕괴되었다가 2002년에 재건되었습니다.,,,https://www.google.com/maps/place/%EB%87%8C%EB%B4%89%ED%83%91/data=!4m7!3m6!1s0x344b7d52a68c9871:0x33c74aa16f2ad96d!8m2!3d30.2315677!4d120.149695!16s%2Fm%2F02wxfpd!19sChIJcZiMplJ9SzQRbdkqb6FKxzM?authuser=0&hl=ko&rclk=1,560,4.3
7,China,Hangzhou,Song Dynasty Town,,,,,,https://www.google.com/maps/place/Song+Dynasty+Town/data=!4m7!3m6!1s0x344b7c3b3ff8c5f5:0x290e6a502b01d787!8m2!3d30.170564!4d120.097709!16s%2Fg%2F1tkmk7qp!19sChIJ9cX4Pzt8SzQRh9cBK1BqDik?authuser=0&hl=ko&rclk=1,501,4.3
8,China,Hangzhou,清河坊历史文化特色街区,,,,,,https://www.google.com/maps/place/%E6%B8%85%E6%B2%B3%E5%9D%8A%E5%8E%86%E5%8F%B2%E6%96%87%E5%8C%96%E7%89%B9%E8%89%B2%E8%A1%97%E5%8C%BA/data=!4m7!3m6!1s0x344c9d5b7c7b102d:0xbeba4c67c0ea2892!8m2!3d30.240516!4d120.168099!16s%2Fg%2F1tdmy6sy!19sChIJLRB7fFudTDQRkijqwGdMur4?authuser=0&hl=ko&rclk=1,447,4.3
9,China,Hangzhou,花港观鱼,,,,,,https://www.google.com/maps/place/%E8%8A%B1%E6%B8%AF%E8%A7%82%E9%B1%BC/data=!4m7!3m6!1s0x344b62b34efcb98b:0xe4a464141bcdf4cb!8m2!3d30.232045!4d120.142553!16s%2Fg%2F155r9k75!19sChIJi7n8TrNiSzQRy_TNGxRkpOQ?authuser=0&hl=ko&rclk=1,445,4.4
10,China,Hangzhou,Hangzhou Botanical Garden,,,,,,https://www.google.com/maps/place/Hangzhou+Botanical+Garden/data=!4m7!3m6!1s0x344b62dd3310cfdb:0x3313e71617dea57e!8m2!3d30.254034!4d120.123515!16s%2Fm%2F04cwbmy!19sChIJ288QM91iSzQRfqXeFxbnEzM?authuser=0&hl=ko&rclk=1,436,4.5
11,China,Hangzhou,West Lake Scenic Area Music Fountain,,,,,,https://www.google.com/maps/place/West+Lake+Scenic+Area+Music+Fountain/data=!4m7!3m6!1s0x344c9d623a977567:0xa6aa933697c93ae8!8m2!3d30.253801!4d120.161045!16s%2Fg%2F11c2nwvw_7!19sChIJZ3WXOmKdTDQR6DrJlzaTqqY?authuser=0&hl=ko&rclk=1,426,4.5
12,China,Hangzhou,苏堤,,,,,,https://www.google.com/maps/place/%E8%8B%8F%E5%A0%A4/data=!4m7!3m6!1s0x344b62b7019bc0fd:0x4ad32e798e660bc2!8m2!3d30.24045!4d120.13902!16s%2Fg%2F155rcd1s!19sChIJ_cCbAbdiSzQRwgtmjnku00o?authuser=0&hl=ko&rclk=1,397,4.5
13,China,Hangzhou,Yue Fei Temple,,,,,,https://www.google.com/maps/place/Yue+Fei+Temple/data=!4m7!3m6!1s0x344b62c06e7b3b19:0x651a20f94ae43d91!8m2!3d30.252015!4d120.134844!16s%2Fm%2F076zf2z!19sChIJGTt7bsBiSzQRkT3kSvkgGmU?authuser=0&hl=ko&rclk=1,333,4.3
14,China,Hangzhou,West Lake Pleasure Boat,,,,,,https://www.google.com/maps/place/West+Lake+Pleasure+Boat/data=!4m7!3m6!1s0x344b7d4d1ca5f0e9:0x9b7f5da112fdcfd1!8m2!3d30.2289738!4d120.1448896!16s%2Fg%2F1tvrxf41!19sChIJ6fClHE19SzQR0c_9EqFdf5s?authuser=0&hl=ko&rclk=1,266,4.4
15,China,Hangzhou,Three Pools Mirroring the Moon,,,,,,https://www.google.com/maps/place/Three+Pools+Mirroring+the+Moon/data=!4m7!3m6!1s0x344b62b04d12e70b:0xc7c7677e1751fde!8m2!3d30.238836!4d120.145314!16s%2Fg%2F155prkkw!19sChIJC-cSTbBiSzQR3h914Xd2fAw?authuser=0&hl=ko&rclk=1,249,4.5
16,China,Hangzhou,Baoshi Mountain,,,,,,https://www.google.com/maps/place/Baoshi+Mountain/data=!4m7!3m6!1s0x344b6291b5d5d025:0x2aec4eaf4e750e8c!8m2!3d30.261106!4d120.144144!16s%2Fg%2F11cnpfc4l7!19sChIJJdDVtZFiSzQRjA51Tq9O7Co?authuser=0&hl=ko&rclk=1,205,4.5
17,China,Hangzhou,더블트리 바이 힐튼 항저우 이스트,,,,,,https://www.google.com/maps/place/%EB%8D%94%EB%B8%94%ED%8A%B8%EB%A6%AC+%EB%B0%94%EC%9D%B4+%ED%9E%90%ED%8A%BC+%ED%95%AD%EC%A0%80%EC%9A%B0+%EC%9D%B4%EC%8A%A4%ED%8A%B8/data=!4m10!3m9!1s0x344c9834c3c736fb:0x6cf1a09f7a63c7c8!5m2!4m1!1i2!8m2!3d30.312184!4d120.324635!16s%2Fg%2F1pp2wyzff!19sChIJ-zbHwzSYTDQRyMdjep-g8Ww?authuser=0&hl=ko&rclk=1,205,4.4
18,China,Hangzhou,保俶塔,,,,,,https://www.google.com/maps/place/%E4%BF%9D%E4%BF%B6%E5%A1%94/data=!4m7!3m6!1s0x344b62854aaa4a51:0x2d3489a72a9367f2!8m2!3d30.261393!4d120.148816!16zL20vMGZyN2o5!19sChIJUUqqSoViSzQR8meTKqeJNC0?authuser=0&hl=ko&rclk=1,166,4.5
19,China,Hangzhou,六和塔,,,,,,https://www.google.com/maps/place/%E5%85%AD%E5%92%8C%E5%A1%94/data=!4m7!3m6!1s0x344b7d0be40289f9:0x637add87402323f1!8m2!3d30.197017!4d120.130456!16s%2Fm%2F02684kt!19sChIJ-YkC5At9SzQR8SMjQIfdemM?authuser=0&hl=ko&rclk=1,153,4.3
20,China,Hangzhou,JW 메리어트 호텔 항저우,,,,,,https://www.google.com/maps/place/JW+%EB%A9%94%EB%A6%AC%EC%96%B4%ED%8A%B8+%ED%98%B8%ED%85%94+%ED%95%AD%EC%A0%80%EC%9A%B0/data=!4m10!3m9!1s0x344b627f2f0df0c5:0x898f30da3b435c01!5m2!4m1!1i2!8m2!3d30.2746405!4d120.1573705!16s%2Fg%2F1tp_4353!19sChIJxfANL39iSzQRAVxDO9owj4k?authuser=0&hl=ko&rclk=1,143,4.4
21,China,Hangzhou,Xixi National Wetland Park,,,"연못, 호수가 많은 습지 공원으로 식물원과 레스토랑이 있으며 이벤트와 축제가 열립니다.",,,https://www.google.com/maps/place/Xixi+National+Wetland+Park/data=!4m7!3m6!1s0x344b64a0a08b5d8b:0xf32eb7e9f541cd8b!8m2!3d30.268056!4d120.06629!16s%2Fm%2F02677wf!19sChIJi12LoKBkSzQRi81B9em3LvM?authuser=0&hl=ko&rclk=1,134,4.4
22,China,Hangzhou,Hyatt Regency Hangzhou,,,,,,https://www.google.com/maps/place/Hyatt+Regency+Hangzhou/data=!4m10!3m9!1s0x344b629d0740146b:0x29830e1aefd620cd!5m2!4m1!1i2!8m2!3d30.2547!4d120.1618!16s%2Fg%2F1thkpdnj!19sChIJaxRAB51iSzQRzSDW7xoOgyk?authuser=0&hl=ko&rclk=1,123,4.4
