data id_info,nation,region,name,operationTime,expense,infoTitle,infoContent,information,map_url,popularity,rating
1,China,Yanbian Korean Autonomous Prefecture,Fangchuan National Scenic Area,,,,,,https://www.google.com/maps/place/Fangchuan+National+Scenic+Area/data=!4m7!3m6!1s0x5fb597206e91d9bd:0xa702aeaace7abd18!8m2!3d42.436046!4d130.58299!16s%2Fg%2F1wc47tcg!19sChIJvdmRbiCXtV8RGL16zqquAqc?authuser=0&hl=ko&rclk=1,89,4.0
2,China,Yanbian Korean Autonomous Prefecture,옌볜 대학,,,,,,https://www.google.com/maps/place/%EC%98%8C%EB%B3%9C+%EB%8C%80%ED%95%99/data=!4m7!3m6!1s0x5e4ab6fc64f14191:0x666a14420b171d01!8m2!3d42.907853!4d129.492544!16zL20vMDU3bG1w!19sChIJkUHxZPy2Sl4RAR0XC0IUamY?authuser=0&hl=ko&rclk=1,29,4.7
3,China,Yanbian Korean Autonomous Prefecture,People's Park,,,,,,https://www.google.com/maps/place/People%27s+Park/data=!4m7!3m6!1s0x5e4ab6550c8dd47d:0xf8713695f19c264!8m2!3d42.914142!4d129.4987999!16s%2Fg%2F1wf38d3s!19sChIJfdSNDFW2Sl4RZMIZX2kThw8?authuser=0&hl=ko&rclk=1,27,4.0
4,China,Yanbian Korean Autonomous Prefecture,延边博物馆,,,,,,https://www.google.com/maps/place/%E5%BB%B6%E8%BE%B9%E5%8D%9A%E7%89%A9%E9%A6%86/data=!4m7!3m6!1s0x5e4ab6da24b9d943:0xf4d8ee3b41609f0!8m2!3d42.893984!4d129.472192!16s%2Fg%2F11kr6gl9by!19sChIJQ9m5JNq2Sl4R8AkWtOOOTQ8?authuser=0&hl=ko&rclk=1,14,4.4
5,China,Yanbian Korean Autonomous Prefecture,吉林帽儿山国家森林公园,,,,,,https://www.google.com/maps/place/%E5%90%89%E6%9E%97%E5%B8%BD%E5%84%BF%E5%B1%B1%E5%9B%BD%E5%AE%B6%E6%A3%AE%E6%9E%97%E5%85%AC%E5%9B%AD/data=!4m7!3m6!1s0x5e4ab3d76b9d7173:0xe7a3c493393d3f65!8m2!3d42.849155!4d129.472524!16s%2Fg%2F1tj57kg1!19sChIJc3Gda9ezSl4RZT89OZPEo-c?authuser=0&hl=ko&rclk=1,11,4.7
6,China,Yanbian Korean Autonomous Prefecture,Tumenjiang Park,,,,,,https://www.google.com/maps/place/Tumenjiang+Park/data=!4m7!3m6!1s0x5fb53298aa868b21:0x1caa8465b44e91d7!8m2!3d42.9676875!4d129.8599375!16s%2Fg%2F1tfq4h6k!19sChIJIYuGqpgytV8R15FOtGWEqhw?authuser=0&hl=ko&rclk=1,10,4.2
7,China,Yanbian Korean Autonomous Prefecture,Tumen Port,,,,,,https://www.google.com/maps/place/Tumen+Port/data=!4m7!3m6!1s0x5fb53293972a72ff:0x73616ccf42612b6a!8m2!3d42.9576875!4d129.8548125!16s%2Fg%2F1tvylm2q!19sChIJ_3Iql5MytV8RaithQs9sYXM?authuser=0&hl=ko&rclk=1,9,4.1
8,China,Yanbian Korean Autonomous Prefecture,Yanji Korean Ethnic Minority Minsuyuan,,,,,,https://www.google.com/maps/place/Yanji+Korean+Ethnic+Minority+Minsuyuan/data=!4m7!3m6!1s0x5e4ab159557d4fc5:0x354be9ee0e74bbef!8m2!3d42.863316!4d129.47928!16s%2Fg%2F1tmqr408!19sChIJxU99VVmxSl4R77t0Du7pSzU?authuser=0&hl=ko&rclk=1,8,3.9
9,China,Yanbian Korean Autonomous Prefecture,延吉市博物馆,,,,,,https://www.google.com/maps/place/%E5%BB%B6%E5%90%89%E5%B8%82%E5%8D%9A%E7%89%A9%E9%A6%86/data=!4m7!3m6!1s0x5e4ab6d08473e51f:0x695266b2385eaecc!8m2!3d42.891997!4d129.471937!16s%2Fg%2F1tdkxg4h!19sChIJH-VzhNC2Sl4RzK5eOLJmUmk?authuser=0&hl=ko&rclk=1,5,4.4
10,China,Yanbian Korean Autonomous Prefecture,图们江国家级森林公园,,,,,,https://www.google.com/maps/place/%E5%9B%BE%E4%BB%AC%E6%B1%9F%E5%9B%BD%E5%AE%B6%E7%BA%A7%E6%A3%AE%E6%9E%97%E5%85%AC%E5%9B%AD/data=!4m7!3m6!1s0x5fb532bd82c940fb:0xf33ca29985e8e536!8m2!3d42.963433!4d129.851422!16s%2Fg%2F1tksn5v_!19sChIJ-0DJgr0ytV8RNuXohZmiPPM?authuser=0&hl=ko&rclk=1,4,4.0
